id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan,amar_code
43962,رودبار,0,,10,290,712,2485,2911020004151866
43963,رودبار,0,,11,131,1090,2421,934020002146512
43964,رودبار,0,,15,405,402,715,2005010002500258
43965,رودبار,0,,16,311,808,1786,1119010001412095
43966,رودبار,0,,21,60,871,2206,801030007384171
43967,رودبار,0,,24,8,195,747,2710010001021875
43968,رودبار,0,,27,14,955,2572,201020006015672
43969,رودبار,0,,29,74,990,1134,2209020001253477
43970,رودبار,0,,29,164,300,1245,2210010001253326
43971,رودبارادرو,0,,27,233,210,785,207010002325427
43972,رودباران,0,,28,19,977,204,1020001000306
43973,رودبارتلمادره,0,,27,233,210,515,207010001802035
43974,رودبارچیره,0,,25,312,941,2158,109020004013020
43975,رودبارحسین بیگ,0,,26,352,515,1344,1506040001219957
43976,رودبارخارخون,0,,27,233,210,2142,207010003321700
43977,رودباردشت,0,,27,14,955,1077,201020007015324
43978,رودبارده سر,0,,25,42,277,1940,113010003010177
43979,رودبارسرا,1,4273,25,213,934,988,114020001011594
43980,رودبارسرا,0,,25,262,937,929,115020002013677
43981,رودبارسرا,0,,25,291,223,776,104060002012330
43982,رودبارفیروزجا,0,,27,55,99,1377,202030001320359
43983,رودبارک,0,,8,112,685,1705,2318010002262405
43984,رودبارک,0,,15,405,402,513,2005010001240922
43985,رودبارک,0,,25,219,282,159,107020001010319
43986,رودبارک,0,,27,426,201,2466,214020003023123
43987,رودبارکلا,0,,27,233,497,2009,207050002019749
43988,رودبارکیاسر,0,,27,233,210,785,207010002019112
43989,رودبارمحله,0,,27,424,1089,131,219020001019244
43990,رودبارنقیب ده,0,,27,233,497,595,207050001019142
43991,رودباری,0,,30,428,235,1467,1303010002208666
43992,رودباری کنار,0,,27,123,959,2183,205020002018374
43993,رودباریخ کش,0,,27,96,958,527,204020003017877
43994,رودبال,1,6403,17,238,1091,2595,706030003373443
43995,رودبال,1,5171,17,314,841,631,709030003079409
43996,رودبال,0,,23,360,898,421,1703020002230476
43997,رودبالوک,0,,16,433,12,721,1107060001412349
43998,رودباهی,0,,21,326,886,1881,816020001808041
43999,رودبر,0,,18,322,419,2084,2603040003238325
44000,رودبر,0,,21,200,875,1178,818010001089789
44001,رودبرده,1,4231,25,211,360,1484,105020003009280
44002,رودبره,0,,6,442,164,1298,1611020001225123
44003,رودبزان,0,,31,119,1078,1380,2103030004247790
44004,رودبن,0,,16,202,124,479,1108050001188836
44005,رودپشت,0,,25,81,932,794,103010001011648
44006,رودپشت,0,,25,211,238,2524,105060002008747
44007,رودپشت,0,,27,123,1062,1937,205030002018171
44008,رودپشت,0,,27,233,963,141,207030001019557
44009,رودپشت,0,,27,388,341,2573,218010002015673
44010,رودپهن,0,,21,60,229,924,801040001090682
44011,رودپیش,1,4248,25,312,941,1253,109020002012872
44012,رودچشمه,0,,10,429,714,2457,2905020002541339
44013,رودحسن سفلی,0,,30,428,1010,1574,1303020001208895
44014,رودحسن علیا,0,,30,428,1010,1574,1303020001208896
44015,رودخابون,0,,11,354,81,346,941020001159559
44016,رودخانه,0,,4,21,1039,2596,1001030002172455
44017,رودخانه,0,,10,318,713,1814,2904020002154531
44018,رودخانه,0,,11,117,170,2425,905070003141643
44019,رودخانه,0,,11,173,1073,1674,938030001395092
44020,رودخانه,0,,11,173,1073,1674,938030001542476
44021,رودخانه,0,,11,173,1073,1674,938030001148830
44022,رودخانه,0,,11,237,393,470,908060001147989
44023,رودخانه,0,,21,138,329,2195,803010003096742
44024,رودخانه,0,,21,338,400,576,808020002111383
44025,رودخانه,0,,25,217,281,1087,106010002009720
44026,رودخانه /رودخانه حسن اباد ده زهین,0,,11,237,393,470,908060001147990
44027,رودخانه /میان کاریز,0,,11,237,393,470,908060001147991
44028,رودخانه تلخ بخش,0,,11,117,479,1942,905050003141367
44029,رودخانه جوی,0,,21,222,545,2476,817010002381762
44030,رودخانه روستا,0,,16,52,84,360,1101010002185805
44031,رودخانه روی,0,,11,237,393,470,908060001147992
44032,رودخانه سرخ,0,,21,60,871,361,801030001090349
44033,رودخانه سلطانی,0,,21,60,229,1084,801040002090794
44034,رودخانه شاهرود,0,,11,224,730,1287,935010001141926
44035,رودخانه فهره,0,,16,240,156,2478,1106010003711150
44036,رودخانه کمال,0,,21,138,329,1361,803010002096279
44037,رودخونی,0,,21,138,158,1450,803020002094710
44038,رودخونی,0,,21,227,880,812,805020012102586
44039,رودخیز,0,,21,338,400,217,808020001111331
44040,رودخین,0,,11,396,741,557,916050001165783
44041,روددره,0,,10,429,398,1702,2905010002135603
44042,رودرباط,0,,10,181,709,1036,2902030001130529
44043,رودرزک,0,,17,238,835,960,706020001075938
44044,رودریا,0,,17,401,850,377,713030002084635
44045,رودریش,0,,23,355,271,23,1702060003228706
44046,رودزربالا,0,,11,354,81,346,941020001159560
44047,رودزرد کاید رفیع,0,,13,59,759,1257,615020002056823
44048,رودزیر,0,,13,59,417,1662,615030002057156
44049,رودزیرین,0,,23,97,111,434,1705010001227605
44050,رودسر,0,,25,213,934,2220,114020002011649
44051,رودسر,0,,25,217,281,385,106010001009618
44052,رودسراب,0,,11,173,1073,1674,938030001148834
44053,رودسران,0,,16,433,813,2400,1107050003412660
44054,رودسمه,0,,23,355,271,432,1702060002227904
44055,رودسیبا,0,,21,138,329,1361,803010002096280
44056,رودشتی,0,,23,192,121,1358,1704010002226183
44057,رودشور,0,,21,351,424,1687,814010002103804
44058,رودشور,0,,29,82,992,1512,2202040007252441
44059,رودشور,0,,31,22,231,1205,2101010002243943
44060,رودشیرسفلی,0,,17,238,835,960,706020001084838
44061,رودشیرعلیا,0,,17,238,835,960,706020001370382
44062,رودعوض,0,,10,76,23,109,2908020001395704
44063,رودغدیر,0,,21,207,513,815,811010001112393
44064,رودفاریاب,1,6124,7,185,25,116,1803040001231807
44065,رودفرق,0,,21,296,159,2146,812030001094977
44066,رودک,0,,8,275,290,1248,2304010001260057
44067,رودک,0,,17,331,501,2012,710020002080095
44068,رودک,1,3069,18,91,856,1460,2601040005237467
44069,رودکاج,0,,10,172,174,664,2910020002129341
